timestamp,hour_of_day,day_of_week,latitude,longitude,original-data,direction_of_movement
1365685759985,22,Thursday,23.13626073,113.37089902,1,$
1365686848760,22,Thursday,23.13626073,113.37089902,1,stat
1365686850587,22,Thursday,23.13577,113.37101,0,W
1365686852414,22,Thursday,23.1357,113.37068,0,S
1365686854241,22,Thursday,23.13553,113.37007,0,S
1365686856068,22,Thursday,23.13534,113.36947,0,S
1365686857895,22,Thursday,23.13501,113.3688,0,SE
1365686859722,22,Thursday,23.13479,113.36835,0,SE
1365686861549,22,Thursday,23.13442,113.36773,0,SE
1365686863376,22,Thursday,23.13433,113.36764,0,SE
1365686865203,22,Thursday,23.13414,113.36758,0,E
1365686867030,22,Thursday,23.13395,113.36758,0,W
1365686868857,22,Thursday,23.13381,113.36759,0,W
1365686870684,22,Thursday,23.13332,113.36773,0,W
1365686872511,22,Thursday,23.13313,113.36777,0,W
1365686874338,22,Thursday,23.133,113.36777,0,W
1365686876165,22,Thursday,23.13219,113.36765,0,E
1365686877992,22,Thursday,23.13177,113.36757,0,E
1365686879819,22,Thursday,23.13196,113.36716,0,SW
1365686881646,22,Thursday,23.13287,113.36483,0,S
1365686883473,22,Thursday,23.1333,113.36369,0,S
1365686885300,22,Thursday,23.13375,113.36226,0,S
1365686887127,22,Thursday,23.13377,113.36217,0,S
1365686888954,22,Thursday,23.1337,113.36218,0,W
1365686890781,22,Thursday,23.13339,113.36223,0,W
1365686892608,22,Thursday,23.13164,113.36244,0,W
1365686894435,22,Thursday,23.13015,113.3626,0,W
1365686896262,22,Thursday,23.1288,113.36278,0,W
1365686898089,22,Thursday,23.12848,113.36276,0,E
1365686899916,22,Thursday,23.12823,113.36271,0,E
1365686901743,22,Thursday,23.12755,113.36253,0,E
1365686903570,22,Thursday,23.12725,113.36248,0,E
1365686905397,22,Thursday,23.12623,113.36238,0,E
1365686907224,22,Thursday,23.12502,113.36225,0,E
1365686909066,22,Thursday,23.12502131,113.36218173,1,S
1365687672432,22,Thursday,23.12487,113.36224,0,W
1365688435799,22,Thursday,23.12491477,113.36170824,1,S
