timestamp,hour_of_day,day_of_week,latitude,longitude,original-data
1365180881936,01,Saturday,23.12384583,113.36176489,1
1365213867919,11,Saturday,23.12384583,113.36176489,1
1365214105639,11,Saturday,23.12358,113.36165,0
1365214343359,11,Saturday,23.12385,113.36033,0
1365214581079,11,Saturday,23.12408,113.35894,0
1365214818799,11,Saturday,23.12406,113.35873,0
1365215056519,11,Saturday,23.12411,113.35847,0
1365215294239,11,Saturday,23.12433,113.35734,0
1365215531959,11,Saturday,23.1244,113.35695,0
1365215769679,11,Saturday,23.12452,113.35626,0
1365216007399,11,Saturday,23.12495,113.35378,0
1365216245119,11,Saturday,23.12513,113.35267,0
1365216482839,11,Saturday,23.12529,113.35171,0
1365216720559,11,Saturday,23.12572,113.34925,0
1365216958279,11,Saturday,23.12596,113.34781,0
1365217195999,11,Saturday,23.12604,113.34721,0
1365217433719,12,Saturday,23.12613,113.34643,0
1365217671439,12,Saturday,23.12627,113.34463,0
1365217909159,12,Saturday,23.12765,113.34466,0
1365218146879,12,Saturday,23.12763,113.34481,0
1365218384599,12,Saturday,23.12761,113.34504,0
1365218622319,12,Saturday,23.1275,113.34507,0
1365218860039,12,Saturday,23.12745,113.34513,0
1365219097759,12,Saturday,23.12746,113.34525,0
1365219335479,12,Saturday,23.12755,113.34532,0
1365219573199,12,Saturday,23.12766,113.34529,0
1365219810919,12,Saturday,23.1277,113.34525,0
1365220048639,12,Saturday,23.12771,113.34519,0
1365220286359,12,Saturday,23.1277,113.34511,0
1365220524091,12,Saturday,23.12786694,113.34497298,1
1365220532947,12,Saturday,23.12492,113.36856,0
1365220541803,12,Saturday,23.12497,113.36935,0
1365220550659,12,Saturday,23.12492,113.36944,0
1365220559515,12,Saturday,23.12483,113.36957,0
1365220568371,12,Saturday,23.12472,113.36973,0
1365220577227,12,Saturday,23.12489,113.37008,0
1365220586083,12,Saturday,23.12498,113.37025,0
1365220594939,12,Saturday,23.12513,113.37059,0
1365220603795,12,Saturday,23.1252,113.37084,0
1365220612651,12,Saturday,23.12525,113.37113,0
1365220621507,12,Saturday,23.12527,113.37133,0
1365220630363,12,Saturday,23.12523,113.37174,0
1365220639219,12,Saturday,23.12501,113.37271,0
1365220648075,12,Saturday,23.12469,113.37417,0
1365220656931,12,Saturday,23.12267,113.37421,0
1365220665787,12,Saturday,23.12208,113.37424,0
1365220674643,12,Saturday,23.12085,113.3744,0
1365220683499,12,Saturday,23.12053,113.37443,0
1365220692355,12,Saturday,23.12043,113.37443,0
1365220701211,12,Saturday,23.12036,113.37441,0
1365220710067,12,Saturday,23.12028,113.37435,0
1365220718923,12,Saturday,23.12022,113.37429,0
1365220727779,12,Saturday,23.12019,113.37418,0
1365220736635,12,Saturday,23.12019,113.37396,0
1365220745491,12,Saturday,23.12041,113.37304,0
1365220754347,12,Saturday,23.12045,113.37249,0
1365220763203,12,Saturday,23.12076,113.37127,0
1365220772059,12,Saturday,23.12116,113.36965,0
1365220780915,12,Saturday,23.12145,113.36856,0
1365220789771,12,Saturday,23.12167,113.3678,0
1365220798627,12,Saturday,23.12199,113.36677,0
1365220807483,13,Saturday,23.12248,113.36523,0
1365220816339,13,Saturday,23.12259,113.3649,0
1365220825195,13,Saturday,23.12259,113.36467,0
1365220834051,13,Saturday,23.12306,113.36308,0
1365220842907,13,Saturday,23.1232,113.3626,0
1365220851763,13,Saturday,23.12335,113.36205,0
1365220860619,13,Saturday,23.1236,113.36098,0
1365220869475,13,Saturday,23.12382,113.35982,0
1365220878331,13,Saturday,23.12422,113.3579,0
1365220887187,13,Saturday,23.1246,113.35581,0
1365220896043,13,Saturday,23.12518,113.35239,0
1365220904899,13,Saturday,23.12531,113.35155,0
1365220913755,13,Saturday,23.12578,113.34891,0
1365220922611,13,Saturday,23.126,113.34758,0
1365220931467,13,Saturday,23.12614,113.34631,0
1365220940323,13,Saturday,23.12621,113.34539,0
1365220949179,13,Saturday,23.12627,113.34463,0
1365220958035,13,Saturday,23.12765,113.34466,0
1365220966891,13,Saturday,23.12761,113.34504,0
1365220975747,13,Saturday,23.12758,113.34504,0
1365220984603,13,Saturday,23.12748,113.34508,0
1365220993459,13,Saturday,23.12744,113.34516,0
1365221002315,13,Saturday,23.12745,113.34522,0
1365221011171,13,Saturday,23.12748,113.34527,0
1365221020027,13,Saturday,23.12752,113.34531,0
1365221028883,13,Saturday,23.12758,113.34532,0
1365221037739,13,Saturday,23.12763,113.34531,0
1365221046595,13,Saturday,23.12768,113.34527,0
1365221055451,13,Saturday,23.12771,113.34522,0
1365221064307,13,Saturday,23.12771,113.34516,0
1365221073163,13,Saturday,23.1277,113.34511,0
1365221082058,13,Saturday,23.12481793,113.36849829,1
1365241691294,18,Saturday,23.12336274,113.3620051,1
1365241764049,18,Saturday,23.12336,113.362,0
1365241836804,18,Saturday,23.1236,113.36098,0
1365241909559,18,Saturday,23.12382,113.35982,0
1365241982314,18,Saturday,23.12422,113.3579,0
1365242055069,18,Saturday,23.12444,113.3567,0
1365242127824,18,Saturday,23.1246,113.35581,0
1365242200579,18,Saturday,23.12478,113.35479,0
1365242273334,18,Saturday,23.12491,113.35458,0
1365242346089,18,Saturday,23.12513,113.3534,0
1365242418844,19,Saturday,23.12518,113.35319,0
1365242491599,19,Saturday,23.12516,113.35314,0
1365242564354,19,Saturday,23.12512,113.35306,0
1365242637109,19,Saturday,23.12503,113.353,0
1365242709864,19,Saturday,23.12491,113.353,0
1365242782619,19,Saturday,23.12483,113.35305,0
1365242855374,19,Saturday,23.12479,113.35312,0
1365242928129,19,Saturday,23.12471,113.35343,0
1365243000884,19,Saturday,23.12455,113.35437,0
1365243073639,19,Saturday,23.12429,113.35607,0
1365243146394,19,Saturday,23.12434,113.35623,0
1365243219149,19,Saturday,23.12425,113.35666,0
1365243291904,19,Saturday,23.12383,113.3589,0
1365243364659,19,Saturday,23.1238,113.35909,0
1365243437414,19,Saturday,23.12376,113.35917,0
1365243510169,19,Saturday,23.1237,113.35933,0
1365243582924,19,Saturday,23.12336,113.36105,0
1365243655679,19,Saturday,23.12325,113.36154,0
1365243728434,19,Saturday,23.12335,113.36157,0
1365243801189,19,Saturday,23.12358,113.36165,0
1365243873944,19,Saturday,23.12363,113.36143,0
1365243946699,19,Saturday,23.12378,113.36145,0
1365244019454,19,Saturday,23.12397,113.36147,0
1365244092209,19,Saturday,23.12401,113.36144,0
1365244164964,19,Saturday,23.12403,113.36139,0
1365244237719,19,Saturday,23.12408,113.36098,0
1365244310474,19,Saturday,23.12413,113.36088,0
1365244383229,19,Saturday,23.12419,113.36081,0
1365244455984,19,Saturday,23.12427,113.36076,0
1365244528739,19,Saturday,23.12437,113.36074,0
1365244601494,19,Saturday,23.12449,113.36076,0
1365244674249,19,Saturday,23.12503,113.36096,0
1365244747024,19,Saturday,23.12499171,113.36130545,1
1365244773462,19,Saturday,23.125,113.36225,0
1365244799900,19,Saturday,23.12383,113.36215,0
1365244826338,19,Saturday,23.12346,113.36212,0
1365244852776,19,Saturday,23.12363,113.36143,0
1365244879214,19,Saturday,23.12395,113.36147,0
1365244905652,19,Saturday,23.12399,113.36146,0
1365244932090,19,Saturday,23.12402,113.36142,0
1365244958528,19,Saturday,23.12406,113.36108,0
1365244984966,19,Saturday,23.1241,113.36092,0
1365245011404,19,Saturday,23.12415,113.36084,0
1365245037842,19,Saturday,23.12423,113.36078,0
1365245064280,19,Saturday,23.12432,113.36074,0
1365245090718,19,Saturday,23.12443,113.36075,0
1365245117156,19,Saturday,23.12495,113.36092,0
1365245143594,19,Saturday,23.12513,113.36102,0
1365245170038,19,Saturday,23.12499994,113.36226881,1
1365245230171,19,Saturday,23.125,113.36225,0
1365245290304,19,Saturday,23.12383,113.36215,0
1365245350437,19,Saturday,23.12346,113.36212,0
1365245410570,19,Saturday,23.12345,113.36218,0
1365245470703,19,Saturday,23.12353,113.36218,0
1365245530836,19,Saturday,23.12385,113.36222,0
1365245590969,19,Saturday,23.12457,113.36228,0
1365245651102,19,Saturday,23.126,113.36242,0
1365245711235,19,Saturday,23.12671,113.3625,0
1365245771371,19,Saturday,23.12665939,113.3630455,1
1365245839472,19,Saturday,23.12671,113.3625,0
1365245907573,19,Saturday,23.12739,113.36257,0
1365245975674,19,Saturday,23.12821,113.36277,0
1365246043775,20,Saturday,23.12848,113.36282,0
1365246111876,20,Saturday,23.1288,113.36285,0
1365246179977,20,Saturday,23.12881,113.36296,0
1365246248078,20,Saturday,23.12882,113.363,0
1365246316179,20,Saturday,23.12886,113.36302,0
1365246384283,20,Saturday,23.12869854,113.36433469,1
1365246430151,20,Saturday,23.12886,113.36302,0
1365246476019,20,Saturday,23.12882,113.363,0
1365246521887,20,Saturday,23.12881,113.36296,0
1365246567755,20,Saturday,23.1288,113.36285,0
1365246613623,20,Saturday,23.1288,113.36278,0
1365246659491,20,Saturday,23.12868,113.36278,0
1365246705359,20,Saturday,23.1283,113.36273,0
1365246751227,20,Saturday,23.12814,113.36269,0
1365246797095,20,Saturday,23.1275,113.36252,0
1365246842963,20,Saturday,23.12711,113.36247,0
1365246888831,20,Saturday,23.12561,113.36231,0
1365246934699,20,Saturday,23.12493,113.36224,0
1365246980567,20,Saturday,23.12496582,113.36187978,1
