timestamp,hour_of_day,day_of_week,latitude,longitude,original-data
1367206446528,12,Monday,23.11129616,113.39786165,1
1367206447414,12,Monday,23.11122,113.39777,0
1367206448300,12,Monday,23.11125,113.39774,0
1367206449186,12,Monday,23.11149,113.3975,0
1367206450072,12,Monday,23.11194,113.39713,0
1367206450958,12,Monday,23.11267,113.39646,0
1367206451844,12,Monday,23.11307,113.39605,0
1367206452730,12,Monday,23.11341,113.39563,0
1367206453616,12,Monday,23.1136,113.39537,0
1367206454502,12,Monday,23.11404,113.39469,0
1367206455388,12,Monday,23.11436,113.39408,0
1367206456274,12,Monday,23.11489,113.39273,0
1367206457160,12,Monday,23.1157,113.39053,0
1367206458046,12,Monday,23.11588,113.38997,0
1367206458932,12,Monday,23.11612,113.38922,0
1367206459818,12,Monday,23.1166,113.38798,0
1367206460704,12,Monday,23.11723,113.38622,0
1367206461590,12,Monday,23.11758,113.3848,0
1367206462476,12,Monday,23.11824,113.38193,0
1367206463362,12,Monday,23.11881,113.37948,0
1367206464248,12,Monday,23.11915,113.37824,0
1367206465134,12,Monday,23.11941,113.37714,0
1367206466020,12,Monday,23.11948,113.37649,0
1367206466906,12,Monday,23.11985,113.37499,0
1367206467792,12,Monday,23.11997,113.37451,0
1367206468678,12,Monday,23.12045,113.37249,0
1367206469564,12,Monday,23.12116,113.36965,0
1367206470450,12,Monday,23.12167,113.3678,0
1367206471336,12,Monday,23.12176,113.3675,0
1367206472222,12,Monday,23.12282,113.36814,0
1367206473108,12,Monday,23.1236,113.36861,0
1367206473994,12,Monday,23.12374,113.36871,0
1367206474880,12,Monday,23.12373,113.36836,0
1367206475766,12,Monday,23.12375,113.36763,0
1367206476677,12,Monday,23.12326099,113.36712408,1
1367229098906,18,Monday,23.12326099,113.36712408,1
1367229099077,18,Monday,23.12375,113.36763,0
1367229099248,18,Monday,23.12394,113.36752,0
1367229099419,18,Monday,23.12413,113.36746,0
1367229099590,18,Monday,23.12424,113.36746,0
1367229099761,18,Monday,23.12427,113.36839,0
1367229099932,18,Monday,23.12428,113.3691,0
1367229100103,18,Monday,23.12436,113.36917,0
1367229100274,18,Monday,23.12447,113.36931,0
1367229100445,18,Monday,23.12469,113.36969,0
1367229100616,18,Monday,23.12498,113.37025,0
1367229100787,18,Monday,23.12513,113.37059,0
1367229100958,18,Monday,23.1252,113.37084,0
1367229101129,18,Monday,23.12525,113.37113,0
1367229101300,18,Monday,23.12527,113.37133,0
1367229101471,18,Monday,23.12523,113.37174,0
1367229101642,18,Monday,23.12501,113.37271,0
1367229101813,18,Monday,23.12469,113.37417,0
