index,timestamp,hour_of_day,day_of_week,GPS_timestamp,latitude,longitude,altitude,Accuracy,bearing,speed
1,1366683612519,11,Tuesday,1366627195753,23.12438276,113.36135848,66.0,30.0,357.8,1.4142135
2,1366686867939,12,Tuesday,1366627195753,23.12438276,113.36135848,66.0,30.0,357.8,1.4142135
3,1366698081952,15,Tuesday,1366627195753,23.12438276,113.36135848,66.0,30.0,357.8,1.4142135
4,1366711039172,18,Tuesday,1366711013000,23.087931,113.52135021,20.799999237060547,13.0,0.0,0.0
5,1366712229937,19,Tuesday,1366712203666,23.12186855,113.4459274,5.5,21.0,285.5,19.525623
6,1366713173467,19,Tuesday,1366712203666,23.12186855,113.4459274,5.5,21.0,285.5,19.525623
7,1366713192010,19,Tuesday,1366713164651,23.12774449,113.38719302,4.699999809265137,56.0,147.7,1.118034
8,1366713299791,19,Tuesday,1366713272706,23.12467289,113.38595039,14.100000381469727,22.0,193.4,10.443299
9,1366713419262,19,Tuesday,1366713391707,23.11931215,113.38441151,-3.0,15.0,34.0,0.75
10,1366713539597,19,Tuesday,1366713512682,23.11955835,113.3816823,8.600000381469727,9.0,292.5,15.6285
11,1366713659826,19,Tuesday,1366713632685,23.12109169,113.37524447,3.700000047683716,25.0,34.1,0.559017
12,1366713782061,19,Tuesday,1366713754698,23.12282365,113.36748017,15.199999809265137,15.0,293.4,11.067972
13,1366713903791,19,Tuesday,1366713876681,23.1245641,113.3614644,21.700000762939453,36.0,95.3,2.5
14,1366714019619,19,Tuesday,1366713992669,23.12493256,113.36169824,33.70000076293945,22.0,336.7,3.354102
15,1366717500659,20,Tuesday,1366713992669,23.12493256,113.36169824,33.70000076293945,22.0,336.7,3.354102
16,1366717808244,20,Tuesday,1366713992669,23.12493256,113.36169824,33.70000076293945,22.0,336.7,3.354102
