index,timestamp,hour_of_day,day_of_week,GPS_timestamp,latitude,longitude,altitude,Accuracy,bearing,speed
1,1367107411389,09,Sunday,1367107400589,23.08830572,113.52325453,3.200000047683716,13.0,39.7,1.4142135
2,1367113672622,10,Sunday,1367107400589,23.08830572,113.52325453,3.200000047683716,13.0,39.7,1.4142135
3,1367127869194,14,Sunday,1367127856000,23.09025366,113.52171356,16.5,11.0,200.2,1.0307764
4,1367133799846,16,Sunday,1367127856000,23.09025366,113.52171356,16.5,11.0,200.2,1.0307764
5,1367139309819,17,Sunday,1367127856000,23.09025366,113.52171356,16.5,11.0,200.2,1.0307764
6,1367143268349,19,Sunday,1367127856000,23.09025366,113.52171356,16.5,11.0,200.2,1.0307764
7,1367143275286,19,Sunday,1367143261975,23.0850094,113.51037139,73.19999694824219,30.0,0.0,0.0
8,1367143393358,19,Sunday,1367143379990,23.08541509,113.50210987,0.4000000059604645,10.0,273.7,3.2882366
9,1367143515339,19,Sunday,1367143501987,23.08650339,113.49187775,3.700000047683716,14.0,302.6,12.369317
10,1367143914305,19,Sunday,1367143501987,23.08650339,113.49187775,3.700000047683716,14.0,302.6,12.369317
11,1367143920978,19,Sunday,1367143907000,23.0978391,113.47033526,-28.799999237060547,18.0,0.0,0.0
12,1367144038042,19,Sunday,1367144024014,23.10121417,113.46458972,-12.300000190734863,11.0,305.9,3.4003677
13,1367144160087,19,Sunday,1367144146007,23.10408753,113.46275516,-13.600000381469727,16.0,15.6,5.700877
14,1367144291069,19,Sunday,1367144277000,23.1060844,113.46310767,-9.5,39.0,0.0,0.0
15,1367144401069,19,Sunday,1367144387009,23.10855435,113.4565985,-10.800000190734863,16.0,282.5,0.75
16,1367144520394,19,Sunday,1367144506030,23.10920669,113.45285204,-9.600000381469727,11.0,3.1,8.5
17,1367144643131,19,Sunday,1367144629042,23.10887424,113.45061454,-10.0,24.0,84.8,3.0
18,1367144764109,19,Sunday,1367144750010,23.10905972,113.45052366,-8.300000190734863,19.0,289.6,3.75
19,1367144883132,19,Sunday,1367144869006,23.1089508,113.44952416,-16.200000762939453,28.0,303.2,2.0
20,1367145427195,19,Sunday,1367145413000,23.10823578,113.44547986,41.599998474121094,24.0,60.9,3.1622777
21,1367146737331,19,Sunday,1367146723035,23.11129616,113.39786165,-6.900000095367432,21.0,295.7,8.25
