index,timestamp,hour_of_day,day_of_week,GPS_timestamp,latitude,longitude,altitude,Accuracy,bearing,speed
1,1364695223298,11,Sunday,1364695209992,23.12496493,113.36116446,82.69999694824219,28.0,212.8,4.924429
2,1364696431353,11,Sunday,1364696418000,23.13187117,113.32692899,3.9000000953674316,42.0,0.0,0.0
3,1364697024434,11,Sunday,1364697011000,23.13118136,113.32479108,80.0999984741211,18.0,0.0,0.0
4,1364697624669,11,Sunday,1364697611000,23.12532576,113.32814151,28.600000381469727,36.0,178.0,15.75
5,1364698223275,11,Sunday,1364698210063,23.1407902,113.37181902,78.69999694824219,24.0,92.5,11.0
6,1364716148362,16,Sunday,1364716133000,23.13652729,113.3302473,120.80000305175781,49.0,199.1,3.25
7,1364716792856,16,Sunday,1364716755527,23.13155934,113.32866782,49.79999923706055,24.0,263.1,2.0615528
8,1364716894635,17,Sunday,1364716878522,23.13145195,113.32700502,76.30000305175781,40.0,271.2,7.0
9,1364717059640,17,Sunday,1364717009528,23.13149499,113.32578035,79.80000305175781,41.0,113.2,0.75
10,1364717139483,17,Sunday,1364717123534,23.13135717,113.32453799,78.5,45.0,281.7,1.5
11,1364717334846,17,Sunday,1364717252548,23.13135454,113.3246367,-48.0,66.0,332.8,1.0307764
12,1364717379473,17,Sunday,1364717364000,23.1310538,113.32444388,65.0,37.0,0.0,0.0
13,1364717503411,17,Sunday,1364717488000,23.1311855,113.32481417,94.30000305175781,46.0,290.4,2.5495098
