index,timestamp,hour_of_day,day_of_week,GPS_timestamp,latitude,longitude,altitude,Accuracy,bearing,speed
1,1365464343390,08,Tuesday,1365464316942,23.13855499,113.37880434,-23.299999237060547,14.0,100.9,15.0
2,1365466167695,09,Tuesday,1365466119971,23.0882591,113.52106235,14.5,27.0,296.0,5.700877
3,1365470051390,10,Tuesday,1365466119971,23.0882591,113.52106235,14.5,27.0,296.0,5.700877
4,1365472967355,11,Tuesday,1365466119971,23.0882591,113.52106235,14.5,27.0,296.0,5.700877
5,1365488766109,15,Tuesday,1365466119971,23.0882591,113.52106235,14.5,27.0,296.0,5.700877
6,1365494336016,16,Tuesday,1365466119971,23.0882591,113.52106235,14.5,27.0,296.0,5.700877
7,1365497475205,17,Tuesday,1365466119971,23.0882591,113.52106235,14.5,27.0,296.0,5.700877
8,1365505267687,20,Tuesday,1365466119971,23.0882591,113.52106235,14.5,27.0,296.0,5.700877
9,1365508173016,20,Tuesday,1365466119971,23.0882591,113.52106235,14.5,27.0,296.0,5.700877
10,1365508179262,20,Tuesday,1365508149486,23.12008779,113.45212354,-3.299999952316284,18.0,287.0,19.0
