index,timestamp,hour_of_day,day_of_week,GPS_timestamp,latitude,longitude,altitude,Accuracy,bearing,speed
1,1365378081697,08,Monday,1365378062006,23.12103153,113.37457961,24.899999618530273,16.0,99.3,2.75
2,1365378713885,08,Monday,1365378694058,23.17071581,113.37886242,44.900001525878906,41.0,4.9,1.118034
3,1365382385530,09,Monday,1365378694058,23.17071581,113.37886242,44.900001525878906,41.0,4.9,1.118034
4,1365383472034,10,Monday,1365378694058,23.17071581,113.37886242,44.900001525878906,41.0,4.9,1.118034
5,1365384561532,10,Monday,1365378694058,23.17071581,113.37886242,44.900001525878906,41.0,4.9,1.118034
6,1365386487479,11,Monday,1365378694058,23.17071581,113.37886242,44.900001525878906,41.0,4.9,1.118034
7,1365395340041,13,Monday,1365378694058,23.17071581,113.37886242,44.900001525878906,41.0,4.9,1.118034
8,1365395348101,13,Monday,1365395327286,23.17982567,113.47196047,61.400001525878906,19.0,173.9,0.70710677
9,1365413509656,18,Monday,1365395327286,23.17982567,113.47196047,61.400001525878906,19.0,173.9,0.70710677
10,1365413521782,18,Monday,1365413499446,23.17924597,113.47179774,56.29999923706055,36.0,302.4,7.648529
11,1365413828695,18,Monday,1365413806000,23.18002528,113.47237077,24.200000762939453,26.0,154.1,2.6925824
12,1365415655642,19,Monday,1365415633000,23.13259678,113.40492479,18.700000762939453,34.0,273.0,3.25
13,1365417107842,19,Monday,1365417085000,23.13955466,113.37077204,7.900000095367432,46.0,0.0,0.0
